Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Escalated),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Access),Custom field (Account Number),Custom field (Administered By),Custom field (Administrator Email),Custom field (Administrator Name),Custom field (Applications),Custom field (Approval Status),Custom field (Audience),Custom field (Backout plan),Custom field (Booking Number),Custom field (Building & Room),Custom field (CPU),Custom field (Cc Groups),Custom field (Cc Users),Custom field (Cc Users),Custom field (Cc Users),Custom field (Cc Users),Custom field (Cc Users),Custom field (Cc Users),Custom field (Cc Users),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Customer Name),Custom field (Customer Request Type),Custom field (Customer User ID),Custom field (Data Classification),Custom field (Database),Custom field (Department/Faculty),Custom field (Directories),Custom field (Disk),Custom field (Email Contact),Custom field (Epic Link),Custom field (External issue ID),Custom field (Gigabytes),Custom field (Global Rank),Custom field (Has Database),Custom field (Has Firewall),Custom field (Home Number),Custom field (Impact),Custom field (Impact of failure),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Key Status),Custom field (Memory),Custom field (Network Speed),Custom field (Notification Email),Custom field (Notifications),Custom field (Operating System),Custom field (Operational categorization),Custom field (Oracle Bug/RFE),Custom field (Oracle SR),Custom field (Payment Method),Custom field (Pending reason),Custom field (Probability of failure),Custom field (Product categorization),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Request participants),Custom field (Root cause),Custom field (Satisfaction),Custom field (Severity),Custom field (Source),Sprint,Custom field (Standard Checks),Custom field (Testing),Custom field (Urgency),Custom field (VM OS),Custom field (Work Number),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Post-Production: Edit and Finalize Interview,ITRC-3422,301906,Task,Investigating,ITRC,ITRC,software,sfoster9,"Third level support for eLearning technology, equipment issues, and ITRC projects.",,Medium,,aquiquer,aquiquer,aquiquer,2019-05-23 11:53,2019-05-23 11:56,2019-05-30 15:54,,ITRC Project,,2019-06-03 0:00,0,itrc-project,,,,,,,,,,,aquiquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1bi13:,9.22E+18,,,,,,,Ping,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Production: Watch Art of Video Interviews Lynda Tutorial,ITRC-3420,301903,Task,Closed,ITRC,ITRC,software,sfoster9,"Third level support for eLearning technology, equipment issues, and ITRC projects.",,Medium,Done,aquiquer,aquiquer,aquiquer,2019-05-23 11:51,2019-05-23 11:57,2019-05-30 15:54,2019-05-23 11:57,ITRC Project,,2019-05-30 0:00,0,ITRC-Projects,,,,,,,,,,,aquiquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1bi0f:,9.22E+18,,,,,,,Ping,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Production: Camera Settings/Lighting Set-Up,ITRC-3419,301902,Task,Closed,ITRC,ITRC,software,sfoster9,"Third level support for eLearning technology, equipment issues, and ITRC projects.",,Medium,Done,aquiquer,aquiquer,aquiquer,2019-05-23 11:50,2019-05-23 11:56,2019-05-30 15:54,2019-05-23 11:56,ITRC Project,,2019-05-30 0:00,0,itrc-project,,,,,,,,,,,aquiquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1bi07:,9.22E+18,,,,,,,Ping,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update ITRC Website,ITRC-3412,300884,Task,Closed,ITRC,ITRC,software,sfoster9,"Third level support for eLearning technology, equipment issues, and ITRC projects.",,Medium,Fixed,zbaig4,zbaig4,zbaig4,2019-05-16 8:58,2019-05-16 15:26,2019-05-30 15:54,2019-05-16 15:26,ITRC Project,,,0,itrc,itrc-website,,,,,,,,"* Update any instances of ""Student Consultant"" to ""Team""
* Update ITRC Student photos, names, and programs",,sfoster9,zbaig4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1bbqn:,9.22E+18,,,,,,,Ping,No,,,,,"16/May/19 3:26 PM;zbaig4;* ""Student Consultants"" term replaced with ""staff"" or ""designer""
* Removed all photos of old staff and ones leaving
* Added new and returning staff photos
* Fixed and updated some of the wording in the description. For example, Adobe Creative Suite is now Adobe Creative Cloud and Articulate Storyline was mentioned. Other redundant information was removed.",,,,,,,,,,,,,,,,,,,,,,,,,,,
