Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Custom field (Customer Name),Custom field (Customer User ID),Custom field (Department/Faculty),Time Spent,Component/s,Component/s,Due Date
Problem,ITRC-2726,194286,,Drop In - Reordering Pages in Lessons,ddorobek,ddorobek,Medium,Closed,Fixed,2017-05-03 14:12,2017-05-03 14:12,,,,,Support,,
Task,ITRC-2694,191393,,HEALTHSCI 2250 - Health Promotion Course Redesign,ddorobek,rsanchez,Medium,Closed,Done,2017-04-11 11:04,2019-01-16 17:23,Jennifer Irwin,jenirwin,"Health Sciences, Faculty of",35100,ITRC Project,,2017-06-28 0:00
Sub-task,ITRC-2683,186973,186361,Research the limitations of SCORM & Storyline in OWL,ddorobek,rsanchez,Medium,Closed,Obsolete,2017-03-06 9:24,2017-03-29 11:18,,,,,ITRC Project,,
Sub-task,ITRC-2675,186389,186361,Develop Articulate Template Structure & Design,ddorobek,rsanchez,Medium,Closed,Fixed,2017-02-28 13:10,2017-06-27 15:41,,,,,ITRC Project,,2017-04-07 0:00
Sub-task,ITRC-2674,186387,186361,Record & Edit Voiceovers ,ddorobek,rsanchez,Medium,Closed,Done,2017-02-28 13:07,2017-03-29 10:32,,,,,ITRC Project,,2017-03-10 0:00
Task,ITRC-2673,186361,,OCCPTHER 9613 - Case Study Modules,ddorobek,rsanchez,Medium,Closed,Fixed,2017-02-28 11:43,2019-01-16 17:24,Liliana Alvarez,lalvare2,"Health Sciences, Faculty of",79200,ITRC Project,,2017-06-07 0:00
Problem,ITRC-2648,183594,,Drop In - Formatting Tests and Quizzes,ddorobek,ddorobek,Medium,Closed,Fixed,2017-02-01 14:49,2017-02-01 14:50,,,,,Support,,
Problem,ITRC-2640,182857,,Call In - Number of Current OWL courses,ddorobek,ddorobek,Medium,Closed,Fixed,2017-01-26 15:22,2017-01-26 15:22,,,,,Support,,
Problem,ITRC-2637,182023,,Drop In - Student Can't Access Course Site,ddorobek,ddorobek,Medium,Closed,Fixed,2017-01-20 15:05,2017-01-20 15:05,,,,,Support,,
Problem,ITRC-2618,180602,,Call in - Removal from Course Sites,ddorobek,ddorobek,Medium,Closed,Fixed,2017-01-11 15:51,2017-01-16 15:21,,,,,Support,,
Problem,ITRC-2609,179635,, Help Set Up Forums and Assignments for Nursing Course,ddorobek,ddorobek,Medium,Closed,Fixed,2017-01-05 14:23,2017-01-19 8:47,,,,,Support,,
Problem,ITRC-2560,173949,,Drop In - Adding Grades to Gradebook,ddorobek,ddorobek,Medium,Closed,Fixed,2016-11-04 10:18,2016-11-04 10:34,,,,,Support,,
Problem,ITRC-2551,172987,,Drop In - Importing Quiz to OWL from Scantron,ddorobek,ddorobek,Medium,Closed,Fixed,2016-10-26 15:08,2016-10-26 15:09,,,,,Support,,
Problem,ITRC-2545,172343,,Drop In - Commenting On Word,ddorobek,ddorobek,Medium,Closed,Fixed,2016-10-20 14:13,2016-10-20 15:44,,,,,Support,,
Problem,ITRC-2543,172254,,Drop In - Question About Exam Location Internet Restrictions ,ddorobek,ddorobek,Medium,Closed,Fixed,2016-10-19 16:01,2016-10-19 16:01,,,,,Support,,
Problem,ITRC-2492,168256,,Drop In - Configuring Forums With Groups,ddorobek,ddorobek,Medium,Closed,Fixed,2016-09-15 15:25,2016-09-15 15:40,,,,,Support,,
Problem,ITRC-2457,165671,,Drop In - Importing Content from Previous Site,ddorobek,ddorobek,Medium,Closed,Fixed,2016-09-01 14:05,2016-09-01 14:06,,,,,Support,,
Sub-task,ITRC-2415,162012,78596,OWL Tool - Lessons - Comments feature,ddorobek,sfoster9,Medium,Closed,Fixed,2016-08-03 11:00,2017-11-03 14:25,,,,,Documentation,,
Task,ITRC-2081,151285,,Migrant Worker Workshop - Edit,ddorobek,apypstra,Medium,Closed,Fixed,2016-05-04 10:33,2016-08-24 9:55,Ava John-Baptiste,ajohnbap,,,ITRC Project,,
Task,ITRC-417,106167,,Create instructions for refreshing the browser caches ,ddorobek,sfoster9,Medium,Closed,Fixed,2015-05-04 12:12,2016-08-02 9:43,,,,,Documentation,,
,ITRC-1,,,T1,,,,,,,,,,,,,,
,ITRC-2,,,T2,,,,,,,,,,,,,,
,ITRC-3,,,T3,,,,,,,,,,,,,,
,ITRC-4,,,T4,,,,,,,,,,,,,,
,ITRC-5,,,T5,,,,,,,,,,,,,,
,ITRC-6,,,T6,,,,,,,,,,,,,,
,ITRC-7,,,T7,,,,,,,,,,,,,,
,ITRC-8,,,T8,,,,,,,,,,,,,,
,ITRC-9,,,T9,,,,,,,,,,,,,,
,ITRC-10,,,T10,,,,,,,,,,,,,,
,ITRC-11,,,T11,,,,,,,,,,,,,,
,ITRC-12,,,T12,,,,,,,,,,,,,,
,ITRC-13,,,T13,,,,,,,,,,,,,,
,ITRC-14,,,T14,,,,,,,,,,,,,,
,ITRC-15,,,T15,,,,,,,,,,,,,,
,ITRC-16,,,T16,,,,,,,,,,,,,,
,ITRC-17,,,T17,,,,,,,,,,,,,,
,ITRC-18,,,T18,,,,,,,,,,,,,,
,ITRC-19,,,T19,,,,,,,,,,,,,,
,ITRC-20,,,T20,,,,,,,,,,,,,,
,ITRC-21,,,T21,,,,,,,,,,,,,,
,ITRC-22,,,T22,,,,,,,,,,,,,,
,ITRC-23,,,T23,,,,,,,,,,,,,,
,ITRC-24,,,T24,,,,,,,,,,,,,,
,ITRC-25,,,T25,,,,,,,,,,,,,,
,ITRC-26,,,T26,,,,,,,,,,,,,,
,ITRC-27,,,T27,,,,,,,,,,,,,,
